Mode,Mois,Année,Service,Aéroport d'origine,Aéroport de destination,Compagnie,Nbre mensuel de vols programmés par la Cie sur la relation,Nbre mensuel de vols assurés par la Cie sur la relation,Part (%) de vols assurés par la Cie sur la relation (mois),Nbre mensuel de vols annulés par la Cie sur la relation,Part (%) des vols annulés par la Cie sur la relation (mois),Part (%) de la Cie dans les vols en retard à l'arrivée sur la relation (mois),Part (%) des vols exploités par la Cie en retard à l'arrivée sur la relation (mois),Retard mensuel moyen à l'arrivée des vols exploités par la Cie sur la relation (min),Code Cie,Code Aero Départ,Code Aero Destination,retards moyennés sur tous les vols de la liaison - compagnie à l'arrivée
Avion,10,2018,International,ABIDJAN,PARIS-CDG,AIR FRANCE,62,62,100,0,0,100,14.52,32,AFR,DIAP,LFPG,6
Avion,11,2018,International,ABIDJAN,PARIS-CDG,AIR FRANCE,60,60,100,0,0,100,11.7,28,AFR,DIAP,LFPG,4
Avion,12,2018,International,ABIDJAN,PARIS-CDG,AIR FRANCE,61,61,100,0,0,100,21.3,41,AFR,DIAP,LFPG,10
Avion,1,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,61,61,100,0,0,100,18,38,AFR,DIAP,LFPG,8
Avion,2,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,56,56,100,0,0,100,12.5,24,AFR,DIAP,LFPG,4
Avion,3,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,62,61,100,1,1.6,100,9.8,47,AFR,DIAP,LFPG,6
Avion,4,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,71,71,100,0,0,100,12.7,35,AFR,DIAP,LFPG,6
Avion,5,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,72,72,100,0,0,100,8.3,139,AFR,DIAP,LFPG,14
Avion,6,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,72,72,100,0,0,100,13.9,58,AFR,DIAP,LFPG,9
Avion,7,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,75,75,100,0,0,100,24,39,AFR,DIAP,LFPG,10
Avion,8,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,75,75,100,0,0,100,41.3,50,AFR,DIAP,LFPG,23
Avion,9,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,71,71,100,0,0,100,28.2,37,AFR,DIAP,LFPG,12
Avion,10,2018,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100,0,0,100,14.52,44,ETD,OMAA,LFPG,8
Avion,11,2018,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,60,60,100,0,0,100,3.3,22,ETD,OMAA,LFPG,1
Avion,12,2018,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100,0,0,100,6.5,44,ETD,OMAA,LFPG,4
Avion,1,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100,0,0,100,1.6,17,ETD,OMAA,LFPG,1
Avion,2,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,56,56,100,0,0,100,7.1,54,ETD,OMAA,LFPG,5
Avion,3,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100,0,0,100,9.7,58,ETD,OMAA,LFPG,7
Avion,4,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,60,60,100,0,0,100,16.7,30,ETD,OMAA,LFPG,9
Avion,5,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100,0,0,100,14.5,31,ETD,OMAA,LFPG,7
Avion,6,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,60,60,100,0,0,100,10,25,ETD,OMAA,LFPG,4
Avion,7,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100,0,0,100,4.8,42,ETD,OMAA,LFPG,6
Avion,8,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100,0,0,100,19.4,38,ETD,OMAA,LFPG,9
Avion,9,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,60,60,100,0,0,100,20,27,ETD,OMAA,LFPG,8
Avion,10,2018,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,39,39,33.91,0,0,31.25,12.82,24,RAM,GMAD,LFPO,6
Avion,10,2018,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,50,50,43.48,0,0,31.25,10,48,TVF,GMAD,LFPO,6
Avion,10,2018,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,26,26,22.61,0,0,37.5,23.08,32,JAF,GMAD,LFPO,8
Avion,11,2018,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,29,29,29.3,0,0,26.7,13.8,57,RAM,GMAD,LFPO,9
Avion,11,2018,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,48,48,48.5,0,0,53.3,16.7,45,TVF,GMAD,LFPO,8
Avion,11,2018,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,22,22,22.2,0,0,20,13.6,309,JAF,GMAD,LFPO,43
Avion,12,2018,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,32,32,29.1,0,0,31.6,18.8,55,RAM,GMAD,LFPO,11
Avion,12,2018,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,56,56,50.9,0,0,52.6,17.9,41,TVF,GMAD,LFPO,9
Avion,12,2018,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,22,22,20,0,0,15.8,13.6,153,JAF,GMAD,LFPO,21
Avion,1,2019,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,29,29,28.7,0,0,18.2,6.9,36,RAM,GMAD,LFPO,4
Avion,1,2019,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,50,50,49.5,0,0,54.6,12,38,TVF,GMAD,LFPO,5
Avion,1,2019,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,22,22,21.8,0,0,27.3,13.6,33,JAF,GMAD,LFPO,5
Avion,2,2019,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,27,27,28.4,0,0,37.5,11.1,66,RAM,GMAD,LFPO,8
Avion,2,2019,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,48,48,50.5,0,0,50,8.3,82,TVF,GMAD,LFPO,8
Avion,2,2019,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,20,20,21.1,0,0,12.5,5,183,JAF,GMAD,LFPO,10
Avion,3,2019,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,33,32,28.6,1,3,25,9.4,43,RAM,GMAD,LFPO,6
Avion,3,2019,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,58,58,51.8,0,0,50,10.3,33,TVF,GMAD,LFPO,5
Avion,3,2019,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,22,22,19.6,0,0,25,13.6,55,JAF,GMAD,LFPO,9
Avion,4,2019,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,30,30,27.3,0,0,56.1,76.7,41,RAM,GMAD,LFPO,33
Avion,4,2019,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,55,55,50,0,0,22,16.4,36,TVF,GMAD,LFPO,8
Avion,4,2019,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,25,25,22.7,0,0,22,36,43,JAF,GMAD,LFPO,18
Avion,5,2019,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,22,22,33.3,0,0,44.4,18.2,23,RAM,GMAD,LFPO,7
Avion,5,2019,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,25,25,37.9,0,0,22.2,8,18,TVF,GMAD,LFPO,2
Avion,5,2019,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,19,19,28.8,0,0,33.3,15.8,24,JAF,GMAD,LFPO,5
Avion,6,2019,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,27,26,26.5,1,3.7,30.4,26.9,26,RAM,GMAD,LFPO,10
Avion,6,2019,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,51,50,51,1,2,43.5,20,34,TVF,GMAD,LFPO,8
Avion,6,2019,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,22,22,22.5,0,0,26.1,27.3,52,JAF,GMAD,LFPO,15
Avion,7,2019,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,42,41,30.4,1,2.4,32.3,24.4,43,RAM,GMAD,LFPO,12
Avion,7,2019,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,64,63,46.7,1,1.6,48.4,23.8,42,TVF,GMAD,LFPO,11
Avion,7,2019,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,32,31,23,1,3.1,19.4,19.4,33,JAF,GMAD,LFPO,8
Avion,8,2019,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,43,43,30.9,0,0,43.6,39.5,41,RAM,GMAD,LFPO,19
