Type de vol,Mois,Annee,Nature,Aéroport d'origine,Aéroport de destination,compagnie,Nombre de vols prévus,Nombre de vols effectués,Taux de réalisation,Nombre de vols irréguliers,Nombre de vols annulés,Taux d'irrégularité,Retard moyen,Code compagnie,Code aéroport origine,Code aéroport destination,Rang
Avion,10,2018,International,ABIDJAN,PARIS-CDG,AIR FRANCE,62,62,100.0,100.0,0,0.0,14.52,AFR,DIAP,LFPG,6
Avion,11,2018,International,ABIDJAN,PARIS-CDG,AIR FRANCE,60,60,100.0,100.0,0,0.0,11.7,AFR,DIAP,LFPG,4
Avion,12,2018,International,ABIDJAN,PARIS-CDG,AIR FRANCE,61,61,100.0,100.0,0,0.0,21.3,AFR,DIAP,LFPG,10
Avion,1,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,61,61,100.0,100.0,0,0.0,18.0,AFR,DIAP,LFPG,8
Avion,2,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,56,56,100.0,100.0,0,0.0,12.5,AFR,DIAP,LFPG,4
Avion,3,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,62,61,100.0,100.0,1,1.6,9.8,AFR,DIAP,LFPG,6
Avion,4,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,71,71,100.0,100.0,0,0.0,12.7,AFR,DIAP,LFPG,6
Avion,5,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,72,72,100.0,100.0,0,0.0,8.3,AFR,DIAP,LFPG,14
Avion,6,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,72,72,100.0,100.0,0,0.0,13.9,AFR,DIAP,LFPG,9
Avion,7,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,75,75,100.0,100.0,0,0.0,24.0,AFR,DIAP,LFPG,10
Avion,8,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,75,75,100.0,100.0,0,0.0,41.3,AFR,DIAP,LFPG,23
Avion,9,2019,International,ABIDJAN,PARIS-CDG,AIR FRANCE,71,71,100.0,100.0,0,0.0,28.2,AFR,DIAP,LFPG,12
Avion,10,2018,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100.0,100.0,0,0.0,14.52,ETD,OMAA,LFPG,8
Avion,11,2018,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,60,60,100.0,100.0,0,0.0,3.3,ETD,OMAA,LFPG,1
Avion,12,2018,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100.0,100.0,0,0.0,6.5,ETD,OMAA,LFPG,4
Avion,1,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100.0,100.0,0,0.0,1.6,ETD,OMAA,LFPG,1
Avion,2,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,56,56,100.0,100.0,0,0.0,7.1,ETD,OMAA,LFPG,5
Avion,3,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100.0,100.0,0,0.0,9.7,ETD,OMAA,LFPG,7
Avion,4,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,60,60,100.0,100.0,0,0.0,16.7,ETD,OMAA,LFPG,9
Avion,5,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100.0,100.0,0,0.0,14.5,ETD,OMAA,LFPG,7
Avion,6,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,60,60,100.0,100.0,0,0.0,10.0,ETD,OMAA,LFPG,4
Avion,7,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100.0,100.0,0,0.0,4.8,ETD,OMAA,LFPG,6
Avion,8,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,62,62,100.0,100.0,0,0.0,19.4,ETD,OMAA,LFPG,9
Avion,9,2019,International,ABU DHABI,PARIS-CDG,ETIHAD AIRWAYS,60,60,100.0,100.0,0,0.0,20.0,ETD,OMAA,LFPG,8
Avion,10,2018,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,39,39,33.91,31.25,0,0.0,12.82,RAM,GMAD,LFPO,6
Avion,10,2018,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,50,50,43.48,31.25,0,0.0,10.0,TVF,GMAD,LFPO,6
Avion,10,2018,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,26,26,22.61,37.5,0,0.0,23.08,JAF,GMAD,LFPO,8
Avion,11,2018,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,29,29,29.3,26.7,0,0.0,13.8,RAM,GMAD,LFPO,9
Avion,11,2018,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,48,48,48.5,53.3,0,0.0,16.7,TVF,GMAD,LFPO,8
Avion,11,2018,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,22,22,22.2,20.0,0,0.0,13.6,JAF,GMAD,LFPO,43
Avion,12,2018,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,32,32,29.1,31.6,0,0.0,18.8,RAM,GMAD,LFPO,11
Avion,12,2018,International,AGADIR,PARIS-ORLY,TRANSAVIA FRANCE,56,56,50.9,52.6,0,0.0,17.9,TVF,GMAD,LFPO,9
Avion,12,2018,International,AGADIR,PARIS-ORLY,TUIFLY BELGIUM,22,22,20.0,15.8,0,0.0,13.6,JAF,GMAD,LFPO,21
Avion,1,2019,International,AGADIR,PARIS-ORLY,ROYAL AIR MAROC,29,29,28.7,18.2,0,0.0,6.9,RAM,GMAD,LFPO,4
